id,name,type
2601061,Ocean Bay Middle School,school
2601062,Black Water Middle School,school
2601063,Burgess Elementary School,school
2601064,Hcs Early College High School,school
2601065,River Oaks Elementary School,school
2601066,Ocean Drive Elementary School,school
2601067,Waterway Elementary,school
2601068,Riverside Elementary,school
2601069,Socastee Middle School,school
2601070,Ten Oaks Middle School,school
2601071,St. James Intermediate School Year,school
2601074,Myrtle Beach Elementary,school
2601075,Hcs Scholars Academy High School,school
2601601,Bridgewater Academy Charter,school
2601602,Palmetto Academy Of Learning And Success Charter,school
2601603,Academy Of Hope Charter,school
2601604,Palmetto Academy Of Learning Motorsports (Palm),school
2701010,Hardeeville Elementary School,school
2701011,Ridgeland Elementary School,school
2701012,Hardeeville-Ridgeland Middle School,school
2701013,Ridgeland-Hardeeville High School,school
2801003,North Central High School,school
2801005,Camden High School,school
2801007,Lugoff-Elgin High School,school
2801010,Baron Dekalb Elementary School,school
2801011,Bethune Elementary,school
2801012,Blaney Elementary School,school
2801013,Jackson School,school
2801014,Camden Middle School,school
2801015,Camden Elementary School,school
2801016,Lugoff-Elgin Middle School,school
2801018,Lugoff Elementary School,school
2801019,Midway Elementary School,school
2801020,Mt. Pisgah Elementary,school
2801021,Pine Tree Hill Elementary,school
2801022,Wateree Elementary,school
2801023,Leslie M. Stover Middle School,school
2801024,Doby's Mill Elementary,school
2801025,North Central Middle School,school
2901002,Buford High School,school
2901003,A. R. Rucker Middle School,school
2901006,Indian Land High,school
2901007,Andrew Jackson High School,school
2901008,Lancaster High School,school
2901010,South Middle,school
2901011,Brooklyn Springs Elementary,school
2901012,Buford Elementary School,school
2901014,North Elementary School,school
2901015,Clinton Elementary School,school
2901017,Erwin Elementary School,school
2901019,Heath Springs Elementary School,school
2901021,Indian Land Elementary School,school
2901023,Kershaw Elementary School,school
2901024,Mcdonald Green Elementary,school
2901027,Andrew Jackson Middle School,school
2901028,Buford Middle,school
2901029,Indian Land Middle School,school
2901030,Harrisburg Elementary School,school
2901031,Van Wyck Elementary School,school
2901611,Discovery Charter Of Lancaster,school
3055004,Laurens District 55 High School,school
3055005,Laurens Middle School,school
3055006,Ford Elementary School,school
3055010,E. B. Morse Elementary School,school
3055011,Laurens Elementary School,school
3055013,Sanders Middle School,school
3055014,Waterloo Elementary,school
3055016,Gray Court-Owings Elementary/Middle School,school
3055017,Hickory Tavern Elementary/Middle School,school
3056016,Clinton High School,school
3056017,Clinton Middle School,school
3056019,Clinton Elementary School,school
3056022,Joanna-Woodson Elementary,school
3056023,Eastside Elementary,school
3101007,Dennis Es,school
3101011,Lower Lee Elementary,school
3101012,West Lee Elementary School,school
3101013,Lee Central High School,school
3101015,Lee Central Middle School,school
3201001,Gilbert High School,school
3201003,Lexington High School,school
3201004,Pelion High School,school
3201005,Gilbert Elementary School,school
3201007,Lexington Elementary School,school
3201008,Pelion Elementary School,school
3201009,Oak Grove Elementary School,school
3201010,Lexington Middle School,school
3201011,Red Bank Elementary School,school
3201049,White Knoll Elementary,school
3201052,Saxe Gotha Elementary School,school
3201053,White Knoll Middle,school
3201054,Gilbert Middle,school
3201055,Midway Elementary School,school
3201056,Lake Murray Elementary,school
3201057,White Knoll High School,school
3201058,Pelion Middle School,school
3201060,Pleasant Hill Elementary School,school
3201061,Pleasant Hill Middle School,school
3201062,Carolina Springs Elementary School,school
3201063,Carolina Springs Middle School,school
3201064,Forts Pond Elementary,school
3201065,New Providence Elementary School,school
3201066,Rocky Creek Elementary School,school
3201067,Meadow Glen Elementary School,school
3201068,Meadow Glen Middle School,school
3201069,River Bluff High School,school
3201070,Deerfield Elementary School,school
3201071,Beechwood Middle School,school
3201072,Centerville Elementary School,school
3202009,Airport High School,school
3202011,Brookland-Cayce High School,school
3202012,R.H. Fulmer Middle School,school
3202017,Busbee Creative Arts Academy,school
3202019,Congaree Elementary School,school
3202020,Northside Middle School,school
3202023,Saluda River Academy For The Arts,school
3202024,Springdale Elementary,school
