ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,StudentsinPoverty_PctCurrYr,StudentsinPoverty_PctLastYr,TCHSALARY_AvgCurrYr,TCHSALARY_AvgLastYr,ExpendforInstruct_PctCurrYr,ExpendforInstruct_PctLastYr,ExpendforTchSalaries_PctCurrYr,ExpendforTchSalaries_PctLastYr,AdminSalary_CurrYr,AdminSalary_LastYr,StateLocalPersonnelPPE_CurrYr,StateLocalPersonnelPPE_LastYr,FedPersonnelPPE_CurrYr,FedPersonnelPPE_LastYr,StateLocalNonPersPPE_CurrYr,StateLocalNonPersPPE_LastYr,FederalNonPersonnelPPE_CurrYr,FederalNonPersonnelPPE_LastYr,TotalStateLocalPPE_CurrYr,TotalStateLocalPPE_LastYr,TotalFederalPPE_CurrYr,TotalFederalPPE_LastYr,TotalPPE_CurrYr,TotalPPE_LastYr
2019,Anderson County School District Two,Wright Elementary School,0402021,E,51.35,54.0,"$48,543","$50,405",,,,,"$82,894","$80,424","$7,019",N/A,$415,N/A,"$1,734",N/A,$699,N/A,"$8,753",N/A,"$1,113",N/A,"$9,866",
2019,Anderson County School District Two,Anderson County School District Two,0402999,D,64.12,62.3,"$47,606","$46,839",$56,$55,$46,$51,"$82,894","$80,424","$6,531",N/A,$732,N/A,"$1,592",N/A,$484,N/A,"$8,123",N/A,"$1,216",N/A,"$9,339","$9,628"
2019,Anderson School District Three,Crescent High School,0403022,H,65.31,64.5,"$49,542","$51,178",,,,,"$89,429","$89,918","$7,641",N/A,$561,N/A,"$1,419",N/A,$377,N/A,"$9,060",N/A,$938,N/A,"$9,998",
2019,Anderson School District Three,Iva Elementary School,0403024,E,80.78,80.0,"$50,681","$50,028",,,,,"$89,429","$89,918","$8,011",N/A,"$1,249",N/A,"$1,039",N/A,$783,N/A,"$9,049",N/A,"$2,032",N/A,"$11,081",
2019,Anderson School District Three,Starr-Iva Middle School,0403025,M,71.64,69.0,"$46,613","$44,664",,,,,"$89,429","$89,918","$7,020",N/A,$436,N/A,$969,N/A,$428,N/A,"$7,989",N/A,$864,N/A,"$8,852",
2019,Anderson School District Three,Starr Elementary,0403026,E,72.11,74.2,"$48,923","$47,290",,,,,"$89,429","$89,918","$6,750",N/A,"$1,118",N/A,$909,N/A,$736,N/A,"$7,659",N/A,"$1,854",N/A,"$9,512",
2019,Anderson School District Three,Flat Rock Elementary School,0403027,E,83.5,83.7,"$46,308","$44,940",,,,,"$89,429","$89,918","$7,325",N/A,"$1,065",N/A,"$1,282",N/A,$878,N/A,"$8,608",N/A,"$1,943",N/A,"$10,551",
2019,Anderson School District Three,Anderson School District Three,0403999,D,73.29,72.7,"$48,510","$47,894",$53,$53,$46,$50,"$89,429","$89,918","$7,345",N/A,$828,N/A,"$1,143",N/A,$598,N/A,"$8,488",N/A,"$1,426",N/A,"$9,914","$10,138"
2019,Anderson District 4,Pendleton High School,0404027,H,51.77,52.5,"$52,032","$50,484",,,,,"$91,278","$87,522","$8,621",N/A,$161,N/A,"$2,200",N/A,$80,N/A,"$10,821",N/A,$241,N/A,"$11,062",
2019,Anderson District 4,Riverside Middle School,0404029,M,62.26,56.3,"$49,272","$52,456",,,,,"$91,278","$87,522","$9,891",N/A,$38,N/A,"$2,140",N/A,$17,N/A,"$12,030",N/A,$55,N/A,"$12,085",
2019,Anderson District 4,La France Elementary School,0404031,E,64.58,66.8,"$50,788","$49,743",,,,,"$91,278","$87,522","$8,211",N/A,$679,N/A,"$1,788",N/A,$61,N/A,"$9,999",N/A,$741,N/A,"$10,739",
2019,Anderson District 4,Pendleton Elementary,0404034,E,82.96,85.4,"$47,044","$46,362",,,,,"$91,278","$87,522","$8,651",N/A,"$1,329",N/A,"$2,191",N/A,$184,N/A,"$10,842",N/A,"$1,513",N/A,"$12,355",
